
3.77528 3.71 14.84 2.12 2.12 1.59000 1.59 ### 3.75744 3.71 14.84 2.12 2.12 1.59000 1.59
3.77587 3.71 14.84 2.12 2.12 1.65625 1.59 ### 3.75924 3.71 14.84 2.12 2.12 1.65625 1.59
3.77646 3.71 14.84 2.12 2.12 1.72250 1.59 ### 3.76100 3.71 14.84 2.12 2.12 1.72250 1.59
3.77704 3.71 14.84 2.12 2.12 1.78875 1.59 ### 3.76274 3.71 14.84 2.12 2.12 1.78875 1.59
3.77762 3.71 14.84 2.12 2.12 1.85500 1.59 ### 3.76447 3.71 14.84 2.12 2.12 1.85500 1.59
3.77819 3.71 14.84 2.12 2.12 1.92125 1.59 ### 3.76618 3.71 14.84 2.12 2.12 1.92125 1.59
3.77875 3.71 14.84 2.12 2.12 1.98750 1.59 ### 3.76787 3.71 14.84 2.12 2.12 1.98750 1.59
3.77931 3.71 14.84 2.12 2.12 2.05375 1.59 ### 3.76955 3.71 14.84 2.12 2.12 2.05375 1.59
3.77987 3.71 14.84 2.12 2.12 2.12000 1.59 ### 3.77122 3.71 14.84 2.12 2.12 2.12000 1.59
3.78042 3.71 14.84 2.12 2.12 2.18625 1.59 ### 3.77286 3.71 14.84 2.12 2.12 2.18625 1.59
3.78096 3.71 14.84 2.12 2.12 2.25250 1.59 ### 3.77450 3.71 14.84 2.12 2.12 2.25250 1.59
3.78150 3.71 14.84 2.12 2.12 2.31875 1.59 ### 3.77611 3.71 14.84 2.12 2.12 2.31875 1.59
3.78203 3.71 14.84 2.12 2.12 2.38500 1.59 ### 3.77771 3.71 14.84 2.12 2.12 2.38500 1.59
3.78256 3.71 14.84 2.12 2.12 2.45125 1.59 ### 3.77930 3.71 14.84 2.12 2.12 2.45125 1.59
3.78308 3.71 14.84 2.12 2.12 2.51750 1.59 ### 3.78087 3.71 14.84 2.12 2.12 2.51750 1.59
3.78360 3.71 14.84 2.12 2.12 2.58375 1.59 ### 3.78242 3.71 14.84 2.12 2.12 2.58375 1.59
3.78412 3.71 14.84 2.12 2.12 2.65000 1.59 ### 3.78395 3.71 14.84 2.12 2.12 2.65000 1.59
3.78463 3.71 14.84 2.12 2.12 2.71625 1.59 ### 3.78547 3.71 14.84 2.12 2.12 2.71625 1.59
3.78514 3.71 14.84 2.12 2.12 2.78250 1.59 ### 3.78697 3.71 14.84 2.12 2.12 2.78250 1.59
3.78564 3.71 14.84 2.12 2.12 2.84875 1.59 ### 3.78846 3.71 14.84 2.12 2.12 2.84875 1.59
3.78614 3.71 14.84 2.12 2.12 2.91500 1.59 ### 3.78992 3.71 14.84 2.12 2.12 2.91500 1.59
3.78664 3.71 14.84 2.12 2.12 2.98125 1.59 ### 3.79137 3.71 14.84 2.12 2.12 2.98125 1.59
3.78713 3.71 14.84 2.12 2.12 3.04750 1.59 ### 3.79279 3.71 14.84 2.12 2.12 3.04750 1.59
3.78762 3.71 14.84 2.12 2.12 3.11375 1.59 ### 3.79419 3.71 14.84 2.12 2.12 3.11375 1.59
3.78810 3.71 14.84 2.12 2.12 3.18000 1.59 ### 3.79557 3.71 14.84 2.12 2.12 3.18000 1.59
3.78858 3.71 14.84 2.12 2.12 3.24625 1.59 ### 3.79693 3.71 14.84 2.12 2.12 3.24625 1.59
3.78906 3.71 14.84 2.12 2.12 3.31250 1.59 ### 3.79825 3.71 14.84 2.12 2.12 3.31250 1.59
3.78953 3.71 14.84 2.12 2.12 3.37875 1.59 ### 3.79954 3.71 14.84 2.12 2.12 3.37875 1.59
3.79000 3.71 14.84 2.12 2.12 3.44500 1.59 ### 3.80077 3.71 14.84 2.12 2.12 3.44500 1.59
